question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,0.6666666666666666,1.0,0.8,0.3333333333333333,0.25,0.28571428571428575
5,NTSB,0.0,0.0,0.0,1.0,1.0,1.0
6,NorthernPlainsFireManagement,0.5,0.5,0.5,1.0,0.2,0.33333333333333337
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,0.0,0.0,0.0,0.0,0.0,0.0
9,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,0.5,0.6666666666666666
10,NYSED_SRC2022,0.16666666666666666,1.0,0.2857142857142857,0.1111111111111111,1.0,0.19999999999999998
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.0,0.0,0.0
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,0.18181818181818182,1.0,0.3076923076923077,0.5,0.3333333333333333,0.4
15,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
16,NYSED_SRC2022,0.16666666666666666,0.5,0.25,0.3333333333333333,0.625,0.43478260869565216
17,ASIS_20161108_HerpInv_Database,0.25,1.0,0.4,0.0,0.0,0.0
18,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
19,KlamathInvasiveSpecies,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666
20,KlamathInvasiveSpecies,0.14285714285714285,1.0,0.25,0.0,0.0,0.0
21,PacificIslandLandbirds,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0
22,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
23,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
24,CratersWildlifeObservations,0.5,1.0,0.6666666666666666,0.14285714285714285,0.5,0.22222222222222224
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
26,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
29,NTSB,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.14285714285714285,1.0,0.25
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,0.5,1.0,0.6666666666666666,0.0,0.0,0.0
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,0.6666666666666666,1.0,0.8,0.2222222222222222,0.5,0.30769230769230765
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
41,SBODemoUS-Banking,0.5,0.5,0.5,0.0,0.0,0.0
