question_id,db_id,p_t,r_t,f1_t,p_c,r_c,f1_c
1,SBODemoUS-Reports,0.0,0.0,0.0,0.0,0.0,0.0
2,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
3,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
4,ASIS_20161108_HerpInv_Database,0.5,0.5,0.5,0.3333333333333333,0.25,0.28571428571428575
5,NTSB,0.0,0.0,0.0,1.0,1.0,1.0
6,NorthernPlainsFireManagement,0.09090909090909091,0.5,0.15384615384615385,0.125,0.2,0.15384615384615385
7,PacificIslandLandbirds,0.0,0.0,0.0,0.0,0.0,0.0
8,CratersWildlifeObservations,0.07692307692307693,1.0,0.14285714285714288,0.18181818181818182,1.0,0.3076923076923077
9,NorthernPlainsFireManagement,0.08333333333333333,1.0,0.15384615384615385,0.25,1.0,0.4
10,NYSED_SRC2022,0.16666666666666666,1.0,0.2857142857142857,0.1111111111111111,1.0,0.19999999999999998
11,CratersWildlifeObservations,1.0,0.5,0.6666666666666666,0.5,0.5,0.5
12,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
13,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
14,NorthernPlainsFireManagement,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
15,KlamathInvasiveSpecies,0.0,0.0,0.0,0.0,0.0,0.0
16,NYSED_SRC2022,0.16666666666666666,0.5,0.25,0.3333333333333333,0.625,0.43478260869565216
17,ASIS_20161108_HerpInv_Database,0.5,0.5,0.5,0.0,0.0,0.0
18,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
19,KlamathInvasiveSpecies,0.4,1.0,0.5714285714285715,0.2,1.0,0.33333333333333337
20,KlamathInvasiveSpecies,0.16666666666666666,1.0,0.2857142857142857,0.16666666666666666,0.5,0.25
21,PacificIslandLandbirds,0.3333333333333333,0.25,0.28571428571428575,0.0,0.0,0.0
22,SBODemoUS-Finance,0.0,0.0,0.0,0.0,0.0,0.0
23,CratersWildlifeObservations,1.0,1.0,1.0,1.0,1.0,1.0
24,CratersWildlifeObservations,0.0,0.0,0.0,0.0,0.0,0.0
25,NYSED_SRC2022,1.0,0.5,0.6666666666666666,1.0,0.3333333333333333,0.5
26,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
27,SBODemoUS-Service,0.0,0.0,0.0,0.0,0.0,0.0
28,PacificIslandLandbirds,1.0,0.25,0.4,0.6,0.3,0.4
29,NTSB,1.0,0.3333333333333333,0.5,0.0,0.0,0.0
30,ASIS_20161108_HerpInv_Database,1.0,1.0,1.0,0.2,1.0,0.33333333333333337
31,SBODemoUS-General,0.0,0.0,0.0,0.0,0.0,0.0
32,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
33,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
34,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
35,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
36,NorthernPlainsFireManagement,1.0,1.0,1.0,1.0,1.0,1.0
37,NorthernPlainsFireManagement,1.0,1.0,1.0,0.2,0.25,0.22222222222222224
38,SBODemoUS-Human Resources,0.0,0.0,0.0,0.0,0.0,0.0
39,ATBI,0.5,0.5,0.5,0.25,0.5,0.3333333333333333
40,NTSB,0.0,0.0,0.0,0.0,0.0,0.0
